,id,precision,recall,f1,tp,fp,fn,num_training_edges,num_edges
89,207038,0.19,1.00,0.32,10984,46977,0,2891,2891
90,207049,0.19,1.00,0.32,8138,34888,0,2634,2634
91,208078,0.18,1.00,0.31,8501,37869,0,2413,2413
92,209021,0.13,1.00,0.23,3046,20405,0,863,863
93,217013,0.45,1.00,0.62,10699,13145,0,3737,3737
94,217090,0.22,1.00,0.37,7167,24694,0,2526,2526
95,220003,0.36,1.00,0.53,15124,26361,0,4318,4318
96,223004,0.26,1.00,0.41,5840,16950,0,1875,1875
97,223060,0.18,1.00,0.30,4629,21338,0,1416,1416
98,225022,0.34,1.00,0.50,8936,17591,0,2632,2632
99,226022,0.28,1.00,0.44,11148,28923,0,2718,2718
100,226033,0.38,1.00,0.55,11408,18728,0,3637,3637
101,226043,0.35,1.00,0.51,13467,25370,0,4199,4199
102,226060,0.34,1.00,0.50,11993,23566,0,3418,3418
103,228076,0.27,1.00,0.43,5678,15308,0,1721,1721
104,230063,0.46,1.00,0.63,17910,21190,0,4884,4884
105,230098,0.27,1.00,0.42,11752,32370,0,2948,2948
106,23050,0.42,1.00,0.59,21388,29260,0,5738,5738
107,232076,0.22,1.00,0.36,5410,19242,0,1723,1723
108,235098,0.52,1.00,0.69,13893,12628,0,3915,3915
109,238025,0.23,1.00,0.37,6000,20307,0,1901,1901
110,243095,0.30,1.00,0.46,14178,33871,0,3480,3480
111,246009,0.15,1.00,0.26,4247,23628,0,1308,1308
112,247003,0.15,1.00,0.26,6052,34164,0,1548,1548
113,247012,0.23,1.00,0.37,6816,22782,0,2296,2296
114,249021,0.20,1.00,0.33,6163,25198,0,1706,1706
115,250047,0.27,1.00,0.43,5920,15929,0,1378,1378
116,250087,0.37,1.00,0.54,14657,24678,0,3928,3928
117,253016,0.46,1.00,0.63,18061,21629,0,5291,5291
118,253092,0.16,1.00,0.28,5292,27879,0,1397,1397
119,257098,0.45,1.00,0.62,17391,21140,0,4730,4730
120,258089,0.45,1.00,0.63,21296,25535,0,5429,5429
121,259060,0.20,1.00,0.33,8242,33845,0,2388,2388
122,267036,0.38,1.00,0.55,13868,22324,0,3778,3778
123,268048,0.23,1.00,0.37,10147,34860,0,2653,2653
124,268074,0.15,1.00,0.26,6608,38145,0,1666,1666
125,277053,0.34,1.00,0.50,12834,25193,0,4152,4152
126,279005,0.27,1.00,0.43,7646,20398,0,2023,2023
127,28083,0.31,1.00,0.48,11142,24319,0,2847,2847
128,281017,0.27,1.00,0.42,10030,27463,0,2677,2677
129,285022,0.20,1.00,0.34,5762,22378,0,1378,1378
130,288024,0.23,1.00,0.37,9152,30966,0,2381,2381
131,289011,0.29,1.00,0.45,15385,37326,0,4306,4306
132,290035,0.38,1.00,0.55,12037,20019,0,3682,3682
133,29030,0.22,1.00,0.36,6351,22899,0,1793,1793
134,296028,0.34,1.00,0.51,8035,15748,0,2421,2421
135,296058,0.15,1.00,0.26,8109,47174,0,2040,2040
136,302022,0.26,1.00,0.41,7766,22092,0,1646,1646
137,306051,0.38,1.00,0.55,9447,15404,0,2167,2167
138,306052,0.16,1.00,0.28,5816,30192,0,1313,1313
139,3063,0.24,1.00,0.39,2876,9022,0,992,992
140,309040,0.44,1.00,0.61,19983,25492,0,6024,6024
141,317043,0.16,1.00,0.28,7492,39356,0,1976,1976
142,326025,0.23,1.00,0.38,9590,31769,0,2509,2509
143,326085,0.22,1.00,0.36,7536,26266,0,1947,1947
144,33044,0.16,1.00,0.27,6371,33795,0,1801,1801
145,334025,0.19,1.00,0.32,5629,23829,0,1580,1580
146,335088,0.31,1.00,0.47,12362,27378,0,4078,4078
147,335094,0.22,1.00,0.37,5586,19431,0,2035,2035
148,344010,0.24,1.00,0.39,6019,18902,0,1636,1636
149,346016,0.14,1.00,0.24,5263,32692,0,1601,1601
150,347031,0.34,1.00,0.51,13515,25759,0,3090,3090
151,35028,0.23,1.00,0.38,11031,36161,0,2714,2714
152,35049,0.25,1.00,0.40,9249,27850,0,1963,1963
153,36046,0.31,1.00,0.48,7747,17050,0,2203,2203
154,365072,0.24,1.00,0.39,10684,33370,0,3210,3210
155,368037,0.31,1.00,0.47,8890,20003,0,2284,2284
156,372019,0.27,1.00,0.42,5341,14654,0,1498,1498
157,376086,0.18,1.00,0.30,5905,27200,0,1683,1683
158,384022,0.23,1.00,0.37,5763,19774,0,2060,2060
159,384089,0.38,1.00,0.55,10189,16704,0,2938,2938
160,385022,0.32,1.00,0.48,9911,21058,0,3477,3477
161,388006,0.13,1.00,0.24,4247,27504,0,1006,1006
162,388018,0.68,1.00,0.81,29961,13967,0,7720,9061
163,388067,0.47,1.00,0.64,18655,21324,0,5491,5491
164,393035,0.42,1.00,0.59,15354,21451,0,4593,4593
165,41006,0.24,1.00,0.38,6746,21910,0,1634,1634
166,41029,0.31,1.00,0.47,9768,21828,0,2526,2526
167,41085,0.31,1.00,0.48,17079,37664,0,4553,4553
168,41096,0.14,1.00,0.25,3692,22644,0,1183,1183
169,43033,0.25,1.00,0.40,14051,42668,0,3537,3537
170,43051,0.11,1.00,0.20,2990,23347,0,888,888
171,45000,0.33,1.00,0.50,16670,33828,0,4668,4668
172,48017,0.13,1.00,0.22,3244,22410,0,929,929
173,48025,0.34,1.00,0.51,9981,19403,0,3213,3213
174,49024,0.29,1.00,0.45,7853,19562,0,1881,1881
175,5096,0.29,1.00,0.45,12641,31100,0,4255,4255
176,51084,0.38,1.00,0.55,13450,22276,0,3544,3544
177,6046,0.21,1.00,0.35,12290,45989,0,3118,3118
178,61034,0.34,1.00,0.50,8983,17819,0,2465,2465
179,64061,0.36,1.00,0.53,14572,25710,0,4096,4096
180,65084,0.42,1.00,0.60,12974,17605,0,3891,3891
181,69000,0.21,1.00,0.35,8563,32139,0,2393,2393
