,id,precision,recall,f1,tp,fp,fn,num_training_edges,num_edges
89,207038,0.18,1.00,0.30,10714,49015,0,1445,2891
90,207049,0.17,1.00,0.29,7725,37023,0,1317,2634
91,208078,0.18,1.00,0.30,8261,38549,1,1206,2413
92,209021,0.12,1.00,0.22,2991,21180,0,431,863
93,217013,0.43,1.00,0.60,10088,13204,18,1868,3737
94,217090,0.21,1.00,0.35,6567,24146,2,1263,2526
95,220003,0.36,1.00,0.53,14115,25523,2,2159,4318
96,223004,0.25,1.00,0.40,5779,17338,0,937,1875
97,223060,0.17,1.00,0.29,4489,22143,2,708,1416
98,225022,0.33,1.00,0.49,8421,17262,8,1316,2632
99,226022,0.26,1.00,0.42,10904,30462,1,1359,2718
100,226033,0.34,1.00,0.51,10816,20539,3,1818,3637
101,226043,0.33,1.00,0.50,12767,25366,6,2099,4199
102,226060,0.33,1.00,0.49,11292,23170,1,1709,3418
103,228076,0.26,1.00,0.41,5458,15802,1,860,1721
104,230063,0.44,1.00,0.61,17705,22756,0,2442,4884
105,230098,0.26,1.00,0.42,10856,30396,1,1474,2948
106,23050,0.42,1.00,0.59,19680,27474,0,2869,5738
107,232076,0.20,1.00,0.34,5146,20158,5,861,1723
108,235098,0.54,1.00,0.70,13418,11511,0,1957,3915
109,238025,0.22,1.00,0.36,5723,20175,0,950,1901
110,243095,0.28,1.00,0.44,13809,34921,1,1740,3480
111,246009,0.15,1.00,0.26,3885,22109,3,654,1308
112,247003,0.15,1.00,0.26,5550,30959,0,774,1548
113,247012,0.20,1.00,0.34,6656,26158,2,1148,2296
114,249021,0.19,1.00,0.32,5838,25163,2,853,1706
115,250047,0.27,1.00,0.43,5706,15124,0,689,1378
116,250087,0.35,1.00,0.52,14497,27107,4,1964,3928
117,253016,0.46,1.00,0.63,16945,20245,1,2645,5291
118,253092,0.15,1.00,0.27,4937,27234,0,698,1397
119,257098,0.45,1.00,0.62,16140,19900,2,2365,4730
120,258089,0.45,1.00,0.62,20250,25077,7,2714,5429
