,id,precision,recall,f1,tp,fp,fn
186,71099,0.3034800856905522,0.8800633914421553,0.4513255636286797,13883,31863,1892
187,77062,0.2474126575926739,0.8562900249647237,0.3839022847271223,7889,23997,1324
188,78098,0.19951819217324135,0.9591515609264853,0.330323951141795,15239,61140,649
189,79073,0.24986765484383272,0.8293432901383703,0.3840325451309433,7552,22672,1554
190,80085,0.1924090931701736,0.641778662684586,0.2960581706850363,3868,16235,2159
191,80090,0.0,0.0,0.0,0,51952,0
192,8068,0.11423018786439214,0.2097541633624108,0.14790996784565916,529,4102,1993
193,81066,0.17468026550105228,0.30670835702103466,0.22258896338318723,1079,5098,2439
194,81090,0.0,0.0,0.0,0,55687,0
195,81095,0.35259905488913124,0.36086309523809523,0.356683213826071,1940,3562,3436
196,87015,0.18032586806615,0.7735602094240838,0.29247290542881177,2955,13432,865
197,92014,0.4393120393120393,0.34024738344433875,0.38348525469168904,1788,2282,3467
198,94095,0.32343470483005365,0.19156600974782792,0.24061751397391534,904,1891,3815
199,97010,0.15032478842646668,0.9291956934768841,0.2587836884436292,7336,41465,559
