,id,precision,recall,f1,tp,fp,fn,num_training_edges,num_edges
179,64061,0.35,1.00,0.51,12567,23745,3,397,4096
180,65084,0.41,0.99,0.58,11530,16579,89,392,3891
181,69000,0.19,1.00,0.32,7067,29765,5,225,2393
182,69007,0.28,1.00,0.44,11353,29013,12,355,3584
183,69022,0.10,0.99,0.18,3622,32015,37,136,1348
184,70011,0.26,1.00,0.41,2856,8086,2,73,781
185,70090,0.14,0.99,0.25,3943,23523,28,158,1554
186,71076,0.30,1.00,0.46,11664,27503,35,404,3858
187,71099,0.29,1.00,0.45,11860,29047,59,418,3965
188,77062,0.20,0.98,0.33,9197,37197,144,327,3370
189,78098,0.18,1.00,0.30,8647,40340,42,275,2935
190,79073,0.22,0.99,0.36,10044,36069,63,404,3926
191,80085,0.32,1.00,0.48,8516,18232,0,262,2793
192,80090,0.23,1.00,0.37,5578,18643,3,179,1731
193,8068,0.28,1.00,0.44,7087,17802,20,231,2243
194,81066,0.29,1.00,0.45,9321,22789,23,257,2742
195,81090,0.26,0.99,0.41,8286,23459,50,284,2830
196,81095,0.42,1.00,0.59,11672,16277,23,407,4005
197,87015,0.17,1.00,0.29,4785,23140,5,162,1663
198,92014,0.48,0.99,0.65,12441,13472,103,465,4343
199,94095,0.25,1.00,0.39,15952,48840,57,438,4565
200,97010,0.18,1.00,0.31,6089,27435,13,149,1553
