"",id,best_precision,mean_precision,best_recall,mean_recall,best_f1,mean_f1,annotator_0_precision,annotator_0_recall,annotator_0_f1,annotator_0_tp,annotator_0_fp,annotator_0_fn,annotator_1_precision,annotator_1_recall,annotator_1_f1,annotator_1_tp,annotator_1_fp,annotator_1_fn,annotator_2_precision,annotator_2_recall,annotator_2_f1,annotator_2_tp,annotator_2_fp,annotator_2_fn,annotator_3_precision,annotator_3_recall,annotator_3_f1,annotator_3_tp,annotator_3_fp,annotator_3_fn,annotator_4_precision,annotator_4_recall,annotator_4_f1,annotator_4_tp,annotator_4_fp,annotator_4_fn,annotator_5_precision,annotator_5_recall,annotator_5_f1,annotator_5_tp,annotator_5_fp,annotator_5_fn,annotator_6_precision,annotator_6_recall,annotator_6_f1,annotator_6_tp,annotator_6_fp,annotator_6_fn,annotator_7_precision,annotator_7_recall,annotator_7_f1,annotator_7_tp,annotator_7_fp,annotator_7_fn
15,253016,0.8456260720411664,0.737221269296741,0.12224150756260849,0.08883451078336785,0.21360485268630852,0.15808704149754624,0.6775300171526587,0.07516650808753568,0.13532031517643028,395,188,4860,0.6912521440823327,0.09462315097440714,0.16646014043783564,403,180,3856,0.7650085763293311,0.06571386474141741,0.12103120759837177,446,137,6341,0.8456260720411664,0.12224150756260849,0.21360485268630852,493,90,3540,0.7066895368782161,0.08642752255087056,0.15401869158878503,412.0,171.0,4355,,,,,,,,,,,,,,,,,,
16,104055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2297,0.0,0.0,0.0,0,0,2215,0.0,0.0,0.0,0,0,2153,0.0,0.0,0.0,0,0,2587,0.0,0.0,0.0,0.0,0.0,1978,0.0,0.0,0.0,0.0,0.0,2184,,,,,,,,,,,,
17,70011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,781,0.0,0.0,0.0,0,0,6625,0.0,0.0,0.0,0,0,801,0.0,0.0,0.0,0,0,769,0.0,0.0,0.0,0.0,0.0,832,0.0,0.0,0.0,0.0,0.0,813,,,,,,,,,,,,
18,296028,0.9417322834645669,0.6988976377952756,0.22472754603532508,0.1713353411307935,0.3628640776699029,0.2744036745456066,0.6377952755905512,0.17146486028789162,0.2702702702702703,405,230,1957,0.6425196850393701,0.11761314499855867,0.19883040935672514,408,227,3061,0.6220472440944882,0.16109298531810767,0.2559118885649498,395,240,2057,0.6503937007874016,0.1817781690140845,0.28414172686618505,413,222,1859,0.9417322834645669,0.22472754603532508,0.3628640776699029,598.0,37.0,2063,,,,,,,,,,,,,,,,,,
19,35028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2714,0.0,0.0,0.0,0,0,3423,0.0,0.0,0.0,0,0,3214,0.0,0.0,0.0,0,0,2372,0.0,0.0,0.0,0.0,0.0,2463,,,,,,,,,,,,,,,,,,
20,228076,0.6629834254143646,0.4662983425414365,0.10695187165775401,0.07541637669404287,0.1841903300076746,0.12946192940422133,0.40331491712707185,0.08563049853372434,0.14126753749395257,146,216,1559,0.3756906077348066,0.04890327220424308,0.08654152083996182,136,226,2645,0.39226519337016574,0.05850844664194479,0.10182861240588024,142,220,2285,0.4972375690607735,0.07708779443254818,0.1334816462736374,180,182,2155,0.6629834254143646,0.10695187165775401,0.1841903300076746,240.0,122.0,2004,,,,,,,,,,,,,,,,,,
21,217090,0.8682042833607908,0.29686985172981883,0.14021551150725023,0.09273476010801848,0.2414385522849616,0.13307371441206653,0.1927512355848435,0.0936374549819928,0.12604363048747644,234,980,2265,0.1416803953871499,0.07951918631530282,0.10186556114894876,172,1042,1991,0.13673805601317957,0.07287093942054433,0.09507445589919816,166,1048,2112,0.14497528830313014,0.0774307083150022,0.10094637223974763,176,1038,2097,0.8682042833607908,0.14021551150725023,0.2414385522849616,1054.0,160.0,6463,,,,,,,,,,,,,,,,,,
22,225022,0.3625632377740304,0.32478920741989886,0.0792659117532214,0.0689794421063694,0.12872542802790107,0.11342966753260741,0.342327150084317,0.07789716039907905,0.12691466083150985,203,390,2403,0.25295109612141653,0.05239259517988124,0.08680555555555555,150,443,2713,0.3625632377740304,0.057165647434193036,0.09875976113918236,215,378,3546,0.32377740303541314,0.0781758957654723,0.12594293210888816,192,401,2264,0.342327150084317,0.0792659117532214,0.12872542802790107,203.0,390.0,2358,,,,,,,,,,,,,,,,,,
23,175083,0.5404699738903395,0.21888598781549173,0.07590759075907591,0.030976568201290217,0.13311897106109324,0.05389613014055302,0.3524804177545692,0.03352371492426124,0.061224489795918366,135,248,3892,0.12532637075718014,0.02511773940345369,0.041848299912816043,48,335,1863,0.5404699738903395,0.07590759075907591,0.13311897106109324,207,176,2520,0.10182767624020887,0.02127659574468085,0.035198555956678694,39,344,1794,0.08616187989556136,0.013360323886639677,0.0231335436382755,33.0,350.0,2437,0.10704960835509138,0.01667344448962993,0.028852920478536243,41.0,342.0,2418,,,,,,,,,,,,
24,189006,0.9576271186440678,0.9169491525423729,0.0782350760103819,0.0665501810967741,0.14387998636208657,0.12396700427492553,0.9322033898305084,0.0632729364394593,0.1185025585779693,220,16,3257,0.8940677966101694,0.0782350760103819,0.14387998636208657,211,25,2486,0.8983050847457628,0.07111707480711171,0.13179981349082998,212,24,2769,0.9576271186440678,0.06449771689497717,0.12085561497326204,226,10,3278,0.902542372881356,0.055628101331940454,0.1047970479704797,213.0,23.0,3616,,,,,,,,,,,,,,,,,,
25,257098,1.0,0.9417040358744394,0.12893815635939324,0.09927952862274544,0.22818791946308722,0.17800727673906228,0.9327354260089686,0.04415198471662068,0.08431293068504257,208,15,4503,0.9910313901345291,0.12893815635939324,0.22818791946308722,221,2,1493,1.0,0.12598870056497175,0.22378324134470645,223,0,1547,0.8609865470852018,0.11728772144166158,0.20645161290322583,192,31,1445,0.9237668161434978,0.08003108003108003,0.14730067929924923,206.0,17.0,2368,,,,,,,,,,,,,,,,,,
